Author,Author_ID
Arthur Conan Doyle,A0001
Stephen Hawking,A0002
Khaled Hosseini,A0003
Matthew McConaughey,A0004
Will Storr,A0005
J.K. Rowling,A0006
Shrayana Bhattacharya,A0007
Blake Snyder,A0008
Syd Field,A0009
David Nicholls,A0010
NEENA GUPTA,A0011
Maharani Gayatri,A0012
John Truby,A0013
Studio Ghibli,A0014
Robert McKee,A0015
Matthew Polly,A0016
Sir David Attenborough,A0017
Satyajit Ray,A0018
Arvind Mandloi,A0019
Abhijat Joshi,A0020
Baradwaj Rangan,A0021
Francois Truffaut,A0022
Ashish Rajadhyaksha,A0023
Anirudha Bhattacharjee,A0024
Dr Ruplekha Khullar & Sulagna Pal,A0025
Girish Karnad,A0026
Light Bulb Quizzes,A0027
Michael Dante DiMartino,A0028
David Mamet,A0029
MinaLima,A0030
Frank Thomas,A0031
Rajendra Yadav,A0032
Jill Chamberlain,A0033
Dean Movshovitz,A0034
Manju Gupta,A0035
Gulzar (In conversation with Nasreen Munni Kabir),A0036
Will Smith,A0037
pallavi rg,A0038
Ashis Ghatak,A0039
Fay Keenan,A0040
Rajendra Yadav & Basu Chatterji,A0041
Kunal Sen,A0042
Christopher Nolan,A0043
Kip Thorne,A0044
Daniel Calvisi,A0045
Richard E. Williams,A0046
BTS and Myeongseok Kang,A0047
Julia Cameron,A0048
Trinity College London Press,A0049
Taylor Jenkins Reid,A0050
SIX STRING MUSIC,A0051
Trinity College London,A0052
Joanna Clarke,A0053
John Thompson,A0054
Sarah Adams,A0055
Edited by Dr. Kumar Vishwas Jon (Jaun Elia),A0056
Willard Palmer,A0057
Giri,A0058
Hal Leonard,A0059
Patti Smith,A0060
Pandit Vishnu Narayan Bhatkhande,A0061
Pt. Harishchandra Shrivastava,A0062
Sri Ekha Subba Rao,A0063
Willard A Palmer,A0064
ABRSM,A0065
Sanchita Pandey,A0066
Nasreen Munni Kabir Gulzar,A0067
Dr. Tejsingh Taak,A0068
Pt. Satish Chandra Srivastava,A0069
Nancy Faber,A0070
Sangeetha Vidwan A.S. Panchapakesa Iyer,A0071
Aishi,A0072
Luke Zecchin,A0073
Ajay Mankotia,A0074
ABRSM Publication,A0075
A. Dannhäuser,A0076
Andrew O'Neill,A0077
Samuel Beckett,A0078
Manmohan Ghosh,A0079
Manu S. Pillai,A0080
William Shakespeare,A0081
அஞ்சனா  சுபி,A0082
Katie Bailey,A0083
Denise Stone,A0084
சுகமதி Sugamathi,A0085
Anton Chekhov,A0086
Aristotle,A0087
Scott Dikkers,A0088
Tr. B.V. Karant Girish Karnad,A0089
