Book ID,Title,Author_ID,Main Genre,Sub Genre,Type,Publisher_ID,Price (USD),Rating,unitsInStock,discontinued
1,The Complete Novel of Sherlock Holmes,A0001,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P015,2.03,4.4,193,0
2,"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",A0002,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P015,1.19,4.5,916,0
3,The Kite Runner,A0003,"Arts, Film & Photography",Cinema & Broadcast,eBook,P008,2.11,4.6,695,0
4,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,A0004,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P022,4.67,4.6,453,0
5,"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",A0005,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P002,4.18,4.5,748,0
6,Fantastic Beasts and Where to Find Them: The Original Screenplay,A0006,"Arts, Film & Photography",Cinema & Broadcast,eBook,P005,3.77,4.5,882,0
7,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,A0006,"Arts, Film & Photography",Cinema & Broadcast,eBook,P023,3.77,4.6,924,0
8,Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,A0007,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P021,4.18,4.5,972,0
9,Save the Cat!: The Last Book on Screenwriting You'll Ever Need,A0008,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P001,10.2,4.5,167,0
10,Screenplay,A0009,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P018,7.73,4.5,763,0
11,One Day,A0010,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,P018,10.7,4.2,357,0
12,SACH KAHUN TOH: AN AUTOBIOGRAPHY,A0011,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P025,4.33,4.4,677,0
13,A PRINCESS REMEMBERS (PB),A0012,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P016,6.86,4.5,782,0
14,The Anatomy of Story,A0013,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P014,5.75,4.6,701,0
15,Studio Ghibli: The Complete Works,A0014,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P012,25.59,4.8,785,0
16,"Story: Style, Structure, Substance, and the Principles of Screenwriting",A0015,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P001,31.34,4.7,288,0
17,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,A0004,"Arts, Film & Photography",Cinema & Broadcast,eBook,P025,4.46,4.6,617,0
18,BRUCE LEE,A0016,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P005,5.09,4.7,662,0
19,JOURNEYS IN THE WILD,A0017,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P025,5.26,4.6,528,0
20,Speaking Of Films (The Penguin Ray Library),A0018,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P009,2.48,4.6,740,0
21,Jadunama: Javed Akhtar Ek Safar (Hindi),A0019,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P025,16.3,4.3,484,0
22,"Satyajit Ray Miscellany: On Life, Cinema",A0018,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P019,4.81,4.6,574,0
23,Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,A0020,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P019,5.08,4.5,368,0
24,"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [Hardcover] Rowling, J.K. and Kloves, Steve",A0006,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P013,7.04,4.6,778,0
25,Conversations with Mani Ratnam (PB),A0021,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P006,4.67,4.6,585,0
26,Hitchcock,A0022,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P015,17.56,4.7,955,0
27,Indian Cinema: A Very Short Introduction (Very Short Introductions),A0023,"Arts, Film & Photography",Cinema & Broadcast,eBook,P013,2.12,4.2,863,0
28,Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,A0024,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P022,4.96,4.8,792,0
29,Changing The Lens: Exploring The Depths Of Film And Philosophy,A0025,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P009,5.34,0,0,1
30,This Life at Play: Memoirs,A0026,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P021,4.13,4.6,58,0
31,The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,A0027,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P013,4.85,5,108,0
32,Avatar: The Last Airbender The Art of the Animated Series (Second Edition),A0028,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P022,25.78,4.9,270,0
33,On Directing Film,A0029,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P004,7.3,4.4,119,0
34,The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,A0030,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P009,20.52,4.8,876,0
35,ILLUSION OF LIFE,A0031,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P012,48.95,4.9,588,0
36,Sara Aakash [Paperback] Rajendra Yadav,A0032,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P005,1.57,4.4,642,0
37,The Nutshell Technique: Crack the Secret of Successful Screenwriting,A0033,"Arts, Film & Photography",Cinema & Broadcast,eBook,P021,5.38,4.6,504,0
38,Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,A0034,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P022,17.29,4.4,453,0
39,Madhubala: Her Real Life Story (General Press),A0035,"Arts, Film & Photography",Cinema & Broadcast,Paperback,P009,1.62,3.6,396,0
40,Jiya Jale: The Stories of Songs,A0036,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,P012,4.62,4.6,673,0
41,Will,A0037,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,P019,13.12,4.6,700,0
