Title,Main Genre
Architecture,"Arts, Film & Photography"
Cinema & Broadcast,"Arts, Film & Photography"
Dance,"Arts, Film & Photography"
Design & Fashion,"Arts, Film & Photography"
Museums & Museology,"Arts, Film & Photography"
Music,"Arts, Film & Photography"
Painting,"Arts, Film & Photography"
Photography,"Arts, Film & Photography"
Sculpture,"Arts, Film & Photography"
Theater & Ballet,"Arts, Film & Photography"
Theory & Criticism,"Arts, Film & Photography"
Biographies & Autobiographies,"Biographies, Diaries & True Accounts"
Diaries & Journals,"Biographies, Diaries & True Accounts"
True Accounts,"Biographies, Diaries & True Accounts"
Analysis & Strategy,Business & Economics
Business Development & Entrepreneurship,Business & Economics
Economics,Business & Economics
Industries,Business & Economics
Action & Adventure,Children's Books
Animals & Pets,Children's Books
Arts & Photography,Children's Books
Biographies,Children's Books
"Cars, Trains & Things That Go",Children's Books
Comics & Graphic Novels,Children's Books
Computers & Technology,Children's Books
"Crafts, Hobbies & Practical Interests",Children's Books
Crime & Thriller,Children's Books
Early Learning,Children's Books
Education & Reference,Children's Books
"Fairy Tales, Folk Tales & Myths",Children's Books
"Family, Personal & Social Issues",Children's Books
Fantasy,Children's Books
"Fantasy, Science Fiction & Horror",Children's Books
"Games, Toys & Activities",Children's Books
Geography & Cultures,Children's Books
Growing Up & Facts of Life,Children's Books
Historical Fiction,Children's Books
History,Children's Books
Holidays & Celebrations,Children's Books
Humour,Children's Books
Interactive & Activity Books,Children's Books
Language Learning,Children's Books
Literature & Fiction,Children's Books
Money & Jobs,Children's Books
Mysteries & Curiosities,Children's Books
Painting,Children's Books
Picture Books,Children's Books
Reference,Children's Books
Religion,Children's Books
"Science, Nature & Technology",Children's Books
Sport,Children's Books
Traditional Stories,Children's Books
Comics,Comics & Mangas
Mangas,Comics & Mangas
Computer Science,"Computing, Internet & Digital Media"
Computer Security,"Computing, Internet & Digital Media"
Databases & Big Data,"Computing, Internet & Digital Media"
Games & Strategy Guides,"Computing, Internet & Digital Media"
Graphics & Design,"Computing, Internet & Digital Media"
Hardware & DIY,"Computing, Internet & Digital Media"
Internet & Social Media,"Computing, Internet & Digital Media"
Network Administration,"Computing, Internet & Digital Media"
Operating Systems,"Computing, Internet & Digital Media"
Programming & Software Development,"Computing, Internet & Digital Media"
Software,"Computing, Internet & Digital Media"
Antiques & Collectables,"Crafts, Home & Lifestyle"
Crafts & Hobbies,"Crafts, Home & Lifestyle"
"Food, Drink & Entertaining","Crafts, Home & Lifestyle"
Games & Quizzes,"Crafts, Home & Lifestyle"
Gardening & Landscape Design,"Crafts, Home & Lifestyle"
"Handicrafts, Decorative Arts & Crafts","Crafts, Home & Lifestyle"
Home & House Maintenance,"Crafts, Home & Lifestyle"
Lifestyle & Personal Style Guides,"Crafts, Home & Lifestyle"
Pets & Animal Care,"Crafts, Home & Lifestyle"
Crime,"Crime, Thriller & Mystery"
